"filename", "language", "Python", "XML", "JSON with Comments", "Markdown", "comment", "blank", "total"
"c:\Codes\py\.VSCodeCounter\2020-12-17_21-41-37\details.md", "Markdown", 0, 0, 0, 47, 0, 6, 53
"c:\Codes\py\.VSCodeCounter\2020-12-17_21-41-37\results.md", "Markdown", 0, 0, 0, 22, 0, 7, 29
"c:\Codes\py\CourseDesign\1.py", "Python", 148, 0, 0, 0, 21, 43, 212
"c:\Codes\py\CourseDesign\temp1.py", "Python", 37, 0, 0, 0, 0, 8, 45
"c:\Codes\py\CourseDesign\temp2.py", "Python", 16, 0, 0, 0, 0, 6, 22
"c:\Codes\py\CourseDesign\tempCodeRunnerFile.py", "Python", 1, 0, 0, 0, 0, 1, 2
"c:\Codes\py\Liu\第一章\1.py", "Python", 2, 0, 0, 0, 0, 0, 2
"c:\Codes\py\Liu\第一章\2.py", "Python", 2, 0, 0, 0, 0, 0, 2
"c:\Codes\py\Liu\第一章\3.py", "Python", 2, 0, 0, 0, 0, 0, 2
"c:\Codes\py\Liu\第一章\4.py", "Python", 2, 0, 0, 0, 0, 0, 2
"c:\Codes\py\Liu\第一章\5.py", "Python", 2, 0, 0, 0, 0, 0, 2
"c:\Codes\py\Liu\第一章\6.py", "Python", 3, 0, 0, 0, 0, 0, 3
"c:\Codes\py\Liu\第一章\7.py", "Python", 6, 0, 0, 0, 0, 0, 6
"c:\Codes\py\Liu\第二章\2.py", "Python", 8, 0, 0, 0, 0, 5, 13
"c:\Codes\py\PySide2PyQt\1.py", "Python", 24, 0, 0, 0, 0, 5, 29
"c:\Codes\py\PySide2PyQt\main.ui", "XML", 0, 417, 0, 0, 0, 1, 418
"c:\Codes\py\PySide2PyQt\res.qrc", "XML", 0, 6, 0, 0, 0, 1, 7
"c:\Codes\py\QJLshangji\1.py", "Python", 7, 0, 0, 0, 15, 7, 29
"c:\Codes\py\QJLshangji\2.py", "Python", 14, 0, 0, 0, 0, 2, 16
"c:\Codes\py\QJLshangji\3.py", "Python", 13, 0, 0, 0, 0, 3, 16
"c:\Codes\py\QJLshangji\4.py", "Python", 5, 0, 0, 0, 0, 1, 6
"c:\Codes\py\QJLshangji\5.py", "Python", 5, 0, 0, 0, 0, 1, 6
"c:\Codes\py\QJLzuoye\chapter 1\1.py", "Python", 3, 0, 0, 0, 0, 1, 4
"c:\Codes\py\QJLzuoye\chapter 1\2.py", "Python", 2, 0, 0, 0, 0, 1, 3
"c:\Codes\py\QJLzuoye\chapter 1\3.py", "Python", 2, 0, 0, 0, 0, 1, 3
"c:\Codes\py\QJLzuoye\chapter 1\4.py", "Python", 2, 0, 0, 0, 0, 1, 3
