Date : 2020-12-17 21:41:59
Directory : c:\Codes\py
Total : 71 files,  1803 codes, 229 comments, 409 blanks, all 2441 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Python             |         66 |      1,275 |        229 |        392 |      1,896 |
| XML                |          2 |        423 |          0 |          2 |        425 |
| Markdown           |          2 |         69 |          0 |         13 |         82 |
| JSON with Comments |          1 |         36 |          0 |          2 |         38 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                      | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                         |         71 |      1,803 |        229 |        409 |      2,441 |
| .VSCodeCounter                                            |          2 |         69 |          0 |         13 |         82 |
| .VSCodeCounter\2020-12-17_21-41-37                        |          2 |         69 |          0 |         13 |         82 |
| CourseDesign                                              |          4 |        202 |         21 |         58 |        281 |
| Liu                                                       |          8 |         27 |          0 |          5 |         32 |
| Liu\第一章                                                   |          7 |         19 |          0 |          0 |         19 |
| Liu\第二章                                                   |          1 |          8 |          0 |          5 |         13 |
| PySide2PyQt                                               |          3 |        447 |          0 |          7 |        454 |
| QJLshangji                                                |          5 |         44 |         15 |         14 |         73 |
| QJLzuoye                                                  |         38 |        456 |         29 |        126 |        611 |
| QJLzuoye\chapter 1                                        |          8 |         27 |          0 |         12 |         39 |
| QJLzuoye\chapter 2                                        |          2 |         22 |          0 |          6 |         28 |
| QJLzuoye\others                                           |          2 |         29 |          0 |          5 |         34 |
| QJLzuoye\第七次作业                                            |          4 |         60 |          9 |         32 |        101 |
| QJLzuoye\第三次作业                                            |          5 |         45 |          0 |         10 |         55 |
| QJLzuoye\第五次作业                                            |          8 |        120 |          9 |         26 |        155 |
| QJLzuoye\第六次作业                                            |          3 |         78 |          7 |         14 |         99 |
| QJLzuoye\第四次作业                                            |          6 |         75 |          4 |         21 |        100 |
| TKinker                                                   |         10 |        522 |        164 |        184 |        870 |
+-----------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                  | language           | code       | comment    | blank      | total      |
