Id LotShape LotArea OverallCond YrSold SalePrice
1 Reg 8450 5 2008 208500.0
2 Reg 9600 8 2007 181500.0
3 IR1 11250 5 2008 223500.0
4 IR1 9550 5 2006 140000.0
5 IR1 14260 5 2008 250000.0
6 IR1 14115 5 2009 143000.0
7 Reg 10084 5 2007 307000.0
8 IR1 10382 6 2009 200000.0
9 Reg 6120 5 2008 129900.0
10 Reg 7420 6 2008 118000.0
11 Reg 11200 5 2008 129500.0
12 IR1 11924 5 2006 345000.0
13 IR2 12968 6 2008 144000.0
14 IR1 10652 5 2007 279500.0
15 IR1 10920 5 2008 157000.0
16 Reg 6120 8 2007 132000.0
17 IR1 11241 7 2010 149000.0
18 Reg 10791 5 2006 90000.0
19 Reg 13695 5 2008 159000.0
20 Reg 7560 6 2009 139000.0
21 IR1 14215 5 2006 325300.0
22 Reg 7449 7 2007 139400.0
23 Reg 9742 5 2008 230000.0
24 Reg 4224 7 2007 129900.0
25 IR1 8246 8 2010 154000.0
26 Reg 14230 5 2009 256300.0
27 Reg 7200 7 2010 134800.0
28 Reg 11478 5 2010 306000.0
29 IR1 16321 6 2006 207500.0
30 IR1 6324 6 2008 68500.0
31 Reg 8500 4 2008 40000.0
32 IR1 8544 6 2008 149350.0
33 Reg 11049 5 2008 179900.0
34 IR1 10552 5 2010 165500.0
35 Reg 7313 5 2007 277500.0
36 Reg 13418 5 2006 309000.0
37 Reg 10859 5 2009 145000.0
38 Reg 8532 6 2009 153000.0
39 Reg 7922 7 2010 109000.0
40 Reg 6040 5 2008 82000.0
41 Reg 8658 5 2006 160000.0
42 Reg 16905 6 2007 170000.0
43 IR1 9180 7 2007 144000.0
44 IR1 9200 6 2008 130250.0
45 Reg 7945 6 2006 141000.0
46 Reg 7658 5 2010 319900.0
47 IR1 12822 5 2009 239686.0
48 Reg 11096 5 2007 249700.0
49 Reg 4456 5 2009 113000.0
50 Reg 7742 7 2007 127000.0
51 IR2 13869 6 2007 177000.0
52 Reg 6240 6 2006 114500.0
53 IR2 8472 5 2010 110000.0
54 IR1 50271 5 2006 385000.0
55 Reg 7134 5 2007 130000.0
56 IR1 10175 5 2008 180500.0
57 Reg 2645 5 2009 172500.0
58 IR1 11645 5 2006 196500.0
59 IR2 13682 5 2006 438780.0
60 Reg 7200 7 2008 124900.0
61 Reg 13072 5 2006 158000.0
62 Reg 7200 7 2007 101000.0
63 IR1 6442 5 2007 202500.0
64 IR1 10300 6 2010 140000.0
65 Reg 9375 5 2009 219500.0
66 Reg 9591 5 2007 317000.0
67 Reg 19900 5 2010 180000.0
68 IR1 10665 5 2007 226000.0
69 Reg 4608 6 2010 80000.0
70 Reg 15593 4 2006 225000.0
71 IR1 13651 6 2007 244000.0
72 Reg 7599 6 2007 129500.0
73 IR1 10141 5 2009 185000.0
74 Reg 10200 7 2010 144900.0
75 Reg 5790 6 2010 107400.0
76 Reg 1596 5 2009 91000.0
77 IR1 8475 7 2008 135750.0
78 Reg 8635 5 2008 127000.0
79 Reg 10778 5 2010 136500.0
80 Reg 10440 6 2009 110000.0
81 Reg 13000 6 2009 193500.0
82 Reg 4500 5 2006 153500.0
83 Reg 10206 5 2008 245000.0
84 IR1 8892 5 2007 126500.0
85 IR1 8530 5 2009 168500.0
86 Reg 16059 5 2006 260000.0
87 IR2 11911 5 2009 174000.0
88 Reg 3951 5 2009 164500.0
89 IR1 8470 2 2009 85000.0
90 Reg 8070 5 2007 123600.0
91 Reg 7200 5 2006 109900.0
92 Reg 8500 3 2006 98600.0
93 IR1 13360 7 2009 163500.0
94 Reg 7200 6 2007 133900.0
95 IR1 9337 5 2007 204750.0
96 IR2 9765 8 2009 185000.0
97 IR1 10264 5 2006 214000.0
98 Reg 10921 5 2007 94750.0
99 Reg 10625 5 2010 83000.0
100 IR1 9320 5 2010 128950.0
101 IR1 10603 7 2010 205000.0
102 Reg 9206 5 2010 178000.0
103 Reg 7018 5 2009 118964.0
104 IR1 10402 5 2010 198900.0
105 Reg 7758 4 2007 169500.0
106 Reg 9375 5 2008 250000.0
107 Reg 10800 7 2007 100000.0
108 Reg 6000 5 2008 115000.0
109 Reg 8500 7 2007 115000.0
110 IR1 11751 6 2010 190000.0
111 Reg 9525 4 2006 136900.0
112 IR1 7750 5 2010 180000.0
113 Reg 9965 5 2007 383970.0
114 Reg 21000 5 2007 217000.0
115 IR1 7259 8 2007 259500.0
116 Reg 3230 5 2007 176000.0
117 Reg 11616 5 2009 139000.0
118 Reg 8536 5 2007 155000.0
119 Reg 12376 5 2010 320000.0
120 Reg 8461 5 2006 163990.0
121 IR1 21453 5 2006 180000.0
122 Reg 6060 5 2007 100000.0
123 Reg 9464 7 2008 136000.0
124 Reg 7892 5 2008 153900.0
125 IR1 17043 5 2009 181000.0
126 Reg 6780 8 2006 84500.0
127 IR1 4928 5 2007 128000.0
128 IR1 4388 7 2007 87000.0
129 Reg 7590 5 2006 155000.0
130 Reg 8973 7 2006 150000.0
131 Reg 14200 6 2006 226000.0
132 IR1 12224 5 2009 244000.0
133 Reg 7388 6 2007 150750.0
134 IR1 6853 5 2009 220000.0
135 IR1 10335 6 2006 180000.0
136 Reg 10400 6 2008 174000.0
137 IR1 10355 5 2007 143000.0
138 Reg 11070 5 2006 171000.0
139 IR1 9066 5 2008 230000.0
140 IR1 15426 5 2009 231500.0
141 Reg 10500 5 2010 115000.0
142 Reg 11645 5 2006 260000.0
143 Reg 8520 4 2010 166000.0
144 IR1 10335 5 2009 204000.0
145 Reg 9100 5 2006 125000.0
146 Reg 2522 5 2006 130000.0
147 Reg 6120 7 2009 105000.0
148 IR1 9505 5 2010 222500.0
149 Reg 7500 5 2008 141000.0
150 Reg 6240 4 2006 115000.0
151 Reg 10356 6 2007 122000.0
152 Reg 13891 5 2008 372402.0
153 IR1 14803 5 2006 190000.0
154 Reg 13500 7 2008 235000.0
155 Reg 11340 5 2006 125000.0
156 Reg 9600 5 2008 79000.0
157 Reg 7200 7 2006 109500.0
158 Reg 12003 5 2010 269500.0
159 Reg 12552 5 2010 254900.0
160 IR1 19378 5 2006 320000.0
161 IR1 11120 6 2008 162500.0
162 IR1 13688 5 2008 412500.0
163 Reg 12182 5 2010 220000.0
164 Reg 5500 6 2007 103200.0
165 Reg 5400 7 2007 152000.0
166 Reg 10106 7 2008 127500.0
167 IR1 10708 5 2009 190000.0
168 Reg 10562 5 2007 325624.0
169 IR1 8244 5 2007 183500.0
170 IR1 16669 6 2006 228000.0
171 IR1 12358 6 2007 128500.0
172 IR1 31770 5 2010 215000.0
173 IR1 5306 7 2006 239000.0
174 IR1 10197 5 2008 163000.0
175 IR1 12416 5 2008 184000.0
176 Reg 12615 7 2007 243000.0
177 IR1 10029 5 2007 211000.0
178 Reg 13650 5 2006 172500.0
179 IR1 17423 5 2009 501837.0
180 Reg 8520 6 2007 100000.0
181 Reg 2117 5 2007 177000.0
182 Reg 7588 6 2006 200100.0
183 Reg 9060 6 2007 120000.0
184 Reg 11426 5 2008 200000.0
185 IR1 7438 8 2006 127000.0
186 IR2 22950 9 2006 475000.0
187 IR1 9947 5 2009 173000.0
188 Reg 10410 7 2009 135000.0
189 Reg 7018 5 2009 153337.0
190 Reg 4923 5 2008 286000.0
191 Reg 10570 8 2007 315000.0
192 IR1 7472 9 2007 184000.0
193 IR1 9017 5 2009 192000.0
194 Reg 2522 5 2006 130000.0
195 IR1 7180 7 2008 127000.0
196 Reg 2280 6 2009 148500.0
197 Reg 9416 5 2007 311872.0
198 Reg 25419 4 2006 235000.0
199 Reg 5520 6 2009 104000.0
200 Reg 9591 5 2009 274900.0
201 Reg 8546 5 2010 140000.0
202 Reg 10125 6 2008 171500.0
203 Reg 7000 6 2006 112000.0
204 Reg 4438 5 2008 149000.0
205 Reg 3500 7 2009 110000.0
206 Reg 11851 5 2009 180500.0
207 IR1 13673 5 2007 143900.0
208 IR1 12493 5 2008 141000.0
209 IR1 14364 5 2007 277000.0
210 Reg 8250 7 2008 145000.0
211 Reg 5604 6 2008 98000.0
212 Reg 10420 5 2010 186000.0
213 Reg 8640 5 2009 252678.0
214 IR2 13568 5 2006 156000.0
215 IR1 10900 7 2010 161750.0
216 IR1 10011 6 2006 134450.0
217 Reg 8450 5 2008 210000.0
218 Reg 9906 4 2006 107000.0
219 IR1 15660 9 2008 311500.0
220 Reg 3010 5 2006 167240.0
221 IR1 8990 5 2006 204900.0
222 IR1 8068 5 2009 200000.0
223 Reg 11475 6 2006 179900.0
224 Reg 10500 6 2009 97000.0
225 Reg 13472 5 2009 386250.0
226 Reg 1680 5 2009 112000.0
227 IR1 9950 5 2007 290000.0
228 Reg 1869 6 2008 106000.0
229 Reg 8521 5 2010 125000.0
230 Reg 3182 5 2009 192500.0
231 Reg 8760 6 2010 148000.0
232 IR1 15138 5 2009 403000.0
